Site,Product_Group,Truck_Appointment_Date,BL_weight,Freight_Amount
AMAZ,SW,2024-02-23,154588.0,8745.22
AMAZ,SW,2024-02-24,37503.0,1390.0
AMAZ,SW,2024-02-27,155034.0,4807.24
AMAZ,SW,2024-02-28,159842.0,11168.71
AMAZ,SW,2024-02-29,52192.0,2371.76
AMAZ,SW,2024-03-01,118668.0,8095.0
AMAZ,SW,2024-03-04,38316.0,1020.0
AMAZ,SW,2024-03-05,160020.0,10512.0
AMAZ,SW,2024-03-06,123926.0,5747.360000000001
AMAZ,SW,2024-03-07,112136.0,1250.0
AMAZ,SW,2024-03-08,140341.0,6494.0599999999995
AMAZ,SW,2024-03-11,39876.0,650.0
AMAZ,SW,2024-03-12,146019.0,3512.54
AMAZ,SW,2024-03-13,134512.0,12494.7
AMAZ,SW,2024-03-14,121097.0,6738.83
AMAZ,SW,2024-03-15,93735.0,8578.01
AMAZ,SW,2024-03-18,93047.0,5799.4
AMAZ,SW,2024-03-19,151697.0,9241.17
AMAZ,SW,2024-03-20,123163.0,5823.4
AMAZ,SW,2024-03-21,145280.0,7939.3
AMAZ,SW,2024-03-22,124509.0,8152.96
AMAZ,SW,2024-03-23,62061.0,2238.47
AMAZ,SW,2024-03-25,6205.0,0.0
AMAZ,SW,2024-03-26,111654.0,4984.9
AMAZ,SW,2024-03-27,82337.0,3911.0699999999997
AMAZ,SW,2024-03-28,192168.0,13204.09
AMAZ,SW,2024-03-30,64509.0,8287.61
AMAZ,SW,2024-04-01,103066.0,7425.0
AMAZ,SW,2024-04-02,160160.0,5157.3
AMAZ,SW,2024-04-03,139201.0,8645.539999999999
AMAZ,SW,2024-04-04,51719.0,1392.51
AMAZ,SW,2024-04-05,160544.0,7252.0
AMAZ,SW,2024-04-08,66912.0,0.0
AMAZ,SW,2024-04-09,69185.0,2922.62
AMAZ,SW,2024-04-10,111428.0,5067.08
AMAZ,SW,2024-04-11,130868.0,6358.219999999999
AMAZ,SW,2024-04-12,151194.0,10330.11
AMAZ,SW,2024-04-15,145291.0,7674.610000000001
AMAZ,SW,2024-04-16,240708.0,9195.36
AMAZ,SW,2024-04-17,184432.0,6453.51
AMAZ,SW,2024-04-18,68081.0,6316.68
AMAZ,SW,2024-04-19,183436.0,16081.5
AMAZ,SW,2024-04-20,15190.0,693.28
AMAZ,SW,2024-04-22,146814.0,12102.42
AMAZ,SW,2024-04-23,177746.0,9096.62
AMAZ,SW,2024-04-24,144909.0,6920.0
AMAZ,SW,2024-04-25,156085.0,8364.9
AMAZ,SW,2024-04-26,109785.0,7807.83
AMAZ,SW,2024-04-29,92631.0,2965.32
AMAZ,SW,2024-04-30,178966.0,9365.0
AMAZ,SW,2024-05-01,128066.0,5282.79
AMAZ,SW,2024-05-02,91420.0,4111.04
AMAZ,SW,2024-05-03,46527.0,4035.0
AMAZ,SW,2024-05-06,77156.0,1375.0
AMAZ,SW,2024-05-07,140766.0,8564.99
AMAZ,SW,2024-05-08,26354.0,1140.05
AMAZ,SW,2024-05-09,73764.0,6815.28
AMAZ,SW,2024-05-10,48749.0,1460.75
AMAZ,SW,2024-05-13,71655.0,4626.74
AMAZ,SW,2024-05-14,176673.0,10094.63
AMAZ,SW,2024-05-15,94462.0,3154.16
AMAZ,SW,2024-05-16,99252.0,3714.46
AMAZ,SW,2024-05-17,198742.0,14143.59
AMAZ,SW,2024-05-20,292795.0,15135.02
AMAZ,SW,2024-05-21,224134.0,17339.690000000002
AMAZ,SW,2024-05-22,209602.0,7722.73
AMAZ,SW,2024-05-23,53992.0,4297.9800000000005
AMAZ,SW,2024-05-24,67234.0,3928.0
AMAZ,SW,2024-05-28,156538.0,14784.1
AMAZ,SW,2024-05-29,201334.0,14237.58
AMAZ,SW,2024-05-30,215441.0,6383.05
AMAZ,SW,2024-05-31,139253.0,8811.25
AMAZ,SW,2024-06-03,165708.0,10595.960000000001
AMAZ,SW,2024-06-04,177294.0,10568.289999999999
AMAZ,SW,2024-06-05,327591.0,16878.8
AMAZ,SW,2024-06-06,320014.0,8767.2
AMAZ,SW,2024-06-07,196034.0,14588.36
AMAZ,SW,2024-06-10,77067.0,5119.47
AMAZ,SW,2024-06-11,180111.0,14842.18
AMAZ,SW,2024-06-12,142209.0,6848.87
AMAZ,SW,2024-06-13,96274.0,4175.25
AMAZ,SW,2024-06-14,148485.0,8477.71
AMAZ,SW,2024-06-16,4848.0,1545.0
AMAZ,SW,2024-06-17,210585.0,10772.91
AMAZ,SW,2024-06-18,127332.0,5087.03
AMAZ,SW,2024-06-19,127793.0,6864.09
AMAZ,SW,2024-06-20,71854.0,3732.39
AMAZ,SW,2024-06-21,148190.0,16252.199999999999
AMAZ,SW,2024-06-24,140572.0,4925.16
AMAZ,SW,2024-06-25,213205.0,13059.8
AMAZ,SW,2024-06-26,167502.0,8462.86
AMAZ,SW,2024-06-27,47335.0,2663.4700000000003
AMAZ,SW,2024-06-28,182715.0,13014.81
AMAZ,SW,2024-06-29,91910.0,4598.7
AMAZ,SW,2024-07-01,73942.0,5275.58
AMAZ,SW,2024-07-02,225936.0,12629.9
AMAZ,SW,2024-07-03,18880.0,0.0
AMAZ,SW,2024-07-05,162717.0,4635.0
AMAZ,SW,2024-07-08,135574.0,5174.280000000001
AMAZ,SW,2024-07-09,165631.0,5485.32
AMAZ,SW,2024-07-10,189609.0,13353.47
AMAZ,SW,2024-07-11,193855.0,6132.66
AMAZ,SW,2024-07-12,267543.0,13503.099999999999
AMAZ,SW,2024-07-13,139651.0,12211.5
AMAZ,SW,2024-07-15,129248.0,7047.59
AMAZ,SW,2024-07-16,138583.0,5780.150000000001
AMAZ,SW,2024-07-17,172390.0,6104.91
AMAZ,SW,2024-07-18,261273.0,9512.0
AMAZ,SW,2024-07-19,144584.0,7642.73
AMAZ,SW,2024-07-22,218468.0,12988.35
AMAZ,SW,2024-07-23,155459.0,7944.99
AMAZ,SW,2024-07-24,139666.0,6334.5
AMAZ,SW,2024-07-25,107241.0,5480.95
AMAZ,SW,2024-07-26,142438.0,4479.719999999999
AMAZ,SW,2024-07-29,98869.0,4311.21
AMAZ,SW,2024-07-30,169001.0,9540.36
AMAZ,SW,2024-07-31,131155.0,3611.08
AMAZ,SW,2024-08-01,109677.0,3964.62
